full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,76916,76916,6249,115,115,16,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,72451,72451,9079,320,320,28,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,25298,25298,4558,67,67,5,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29491,29491,2264,34,34,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22744,22744,2165,24,24,2,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,27569,27569,1789,32,32,4,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6198,6198,1537,5,5,2,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,13454,13454,1481,42,42,10,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,13379,13379,1248,60,60,6,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9227,9227,1191,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7728,7728,553,14,14,2,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5723,5723,795,7,7,2,https://github.com/Piebald-AI/claude-code-system-prompts
ChrisWiles/claude-code-showcase,5496,5496,468,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3703,3703,545,1,1,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3198,3198,422,6,6,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3276,3276,574,3,3,1,https://github.com/disler/claude-code-hooks-mastery
ykdojo/claude-code-tips,4431,4431,316,5,5,1,https://github.com/ykdojo/claude-code-tips
zebbern/claude-code-guide,3575,3575,333,2,2,0,https://github.com/zebbern/claude-code-guide
kodu-ai/claude-coder,5289,5289,199,1,1,0,https://github.com/kodu-ai/claude-coder
pedrohcgs/claude-code-my-workflow,604,604,1032,3,3,4,https://github.com/pedrohcgs/claude-code-my-workflow
Maciek-roboblog/Claude-Code-Usage-Monitor,6897,6897,337,7,7,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2187,2187,365,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
anthropics/skills,91144,91144,9711,296,296,43,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2136,2136,307,4,4,3,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,21857,21857,4446,74,74,70,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2466,2466,260,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3727,3727,304,7,7,0,https://github.com/anthropics/claude-code-security-review
anthropics/claude-code-base-action,602,602,589,0,0,0,https://github.com/anthropics/claude-code-base-action
RichardAtCT/claude-code-telegram,2028,2028,254,5,5,1,https://github.com/RichardAtCT/claude-code-telegram
router-for-me/CLIProxyAPI,15697,15697,2554,95,95,21,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1306,1306,271,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,449,449,604,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
